FCLTY_NM,KEYWORDS,ST_ADDRESS,LOCALITY,MAIL_ADD,WEBSITE,IMAGE_URL,,LATITUDE,,LONGITUDE,,ADDRESS,DT_UPDATE,GEOCD_IND,SRCDATA_ID,CUST_ORG,BUS_CAT_CL,BUS_CAT_DS,OCCPNT_TYP,SHAPE,SEQ_ID,X,Y
Wapiti Ski Club,recreation; ski; ski resort,1000 Natal Rd,Elkford,"1000 Natal Rd, Elkford, BC",,,{lat: ,50.021685,", lng:",-114.9380363,"},","1000 Natal Rd, Elkford, BC",2.02E+13,,59,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",skiingFacilities,Skiing Facilities,Skiing Facilities,,59,1789496.84,618005.426
Summit Lake Ski Area,recreation; ski; ski resort,2815 Hwy 6,Nakusp,"2815 Hwy 6, Nakusp, BC",,,{lat: ,50.1454638,", lng:",-117.6143793,"},","2815 Hwy 6, Nakusp, BC",2.02E+13,,57,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",skiingFacilities,Skiing Facilities,Skiing Facilities,,57,1597896.114,605418.62
Sasquatch Mountain Resort,recreation; ski; ski resort,20955 Hemlock Valley Rd,Hemlock Valley,"20955 Hemlock Valley Rd, Hemlock Valley, BC",,,{lat: ,49.3801115,", lng:",-121.9354366,"},","20955 Hemlock Valley Rd, Hemlock Valley, BC",2.02E+13,,45,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",skiingFacilities,Skiing Facilities,Skiing Facilities,,45,1295206.765,493341.212
Apex Mountain Resort,recreation; ski; ski resort,1000 Strayhorse Rd,Apex,"1000 Strayhorse Rd, Apex, BC",,,{lat: ,49.3904157,", lng:",-119.9047316,"},","1000 Strayhorse Rd, Apex, BC",2.02E+13,,47,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",skiingFacilities,Skiing Facilities,Skiing Facilities,,47,1442293.395,505062.047
Salmo Ski Hill,recreation; ski; ski resort,499 Salmo Ski Hill Rd,Salmo,"499 Salmo Ski Hill Rd, Salmo, BC",,,{lat: ,49.1863972,", lng:",-117.3015278,"},","499 Salmo Ski Hill Rd, Salmo, BC",2.02E+13,,46,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",skiingFacilities,Skiing Facilities,Skiing Facilities,,46,1633160.741,502288
Red Mountain Resort,recreation; ski; ski resort,4300 Red Mountain Rd,Rossland,"4300 Red Mountain Rd, Rossland, BC",,,{lat: ,49.1023786,", lng:",-117.8193897,"},","4300 Red Mountain Rd, Rossland, BC",2.02E+13,,43,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",skiingFacilities,Skiing Facilities,Skiing Facilities,,43,1596715.121,488521.946
Fernie Alpine Resort,recreation; ski; ski resort,5339 Fernie Ski Hill Rd,West Fernie,"5339 Fernie Ski Hill Rd, West Fernie, BC",,,{lat: ,49.4628444,", lng:",-115.0872374,"},","5339 Fernie Ski Hill Rd, West Fernie, BC",2.02E+13,,51,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",skiingFacilities,Skiing Facilities,Skiing Facilities,,51,1788474.081,554952.321
Harper Mountain,recreation; ski; ski resort,2580 Harper Mountain Rd,Paul Lake,"2580 Harper Mountain Rd, Paul Lake, BC",,,{lat: ,50.7230743,", lng:",-120.138992,"},","2580 Harper Mountain Rd, Paul Lake, BC",2.02E+13,,61,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",skiingFacilities,Skiing Facilities,Skiing Facilities,,61,1413075.276,651357.865
Phoenix Mountain Ski Resort,recreation; ski; ski resort,8000 Phoenix Ski Hill Rd,Grand Forks,"8000 Phoenix Ski Hill Rd, Grand Forks, BC",,,{lat: ,49.1092526,", lng:",-118.5857632,"},","8000 Phoenix Ski Hill Rd, Grand Forks, BC",2.02E+13,,39,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",skiingFacilities,Skiing Facilities,Skiing Facilities,,39,1540949.184,483122.841
Murray Ridge Ski Area,recreation; ski; ski resort,7904 Chalet Dr,Fort St James,"7904 Chalet Dr, Fort St James, BC",,,{lat: ,54.5172275,", lng:",-124.2097586,"},","7904 Chalet Dr, Fort St James, BC",2.02E+13,,72,"Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC ",skiingFacilities,Skiing Facilities,Skiing Facilities,,72,1115606.026,1058802.757
